wine_id,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol
100,6.1,0.32,0.28,6.6,0.021,29,132,0.99188,3.15,0.36,11.45
101,5,0.2,0.4,1.9,0.015,20,98,0.9897,3.37,0.55,12.05
102,6,0.42,0.41,12.4,0.032,50,179,0.99622,3.14,0.6,9.7
103,5.7,0.21,0.32,1.6,0.03,33,122,0.99044,3.33,0.52,11.9
104,5.6,0.2,0.36,2.5,0.048,16,125,0.99282,3.49,0.49,10
105,7.4,0.22,0.26,1.2,0.035,18,97,0.99245,3.12,0.41,9.7
106,6.2,0.38,0.42,2.5,0.038,34,117,0.99132,3.36,0.59,11.6
107,5.9,0.54,0,0.8,0.032,12,82,0.99286,3.25,0.36,8.8
108,6.2,0.53,0.02,0.9,0.035,6,81,0.99234,3.24,0.35,9.5
109,6.6,0.34,0.4,8.1,0.046,68,170,0.99494,3.15,0.5,9.53333333333333
